# RELIQUARY — Kartentexte Chinesisch (vereinfacht)
# Blöcke: "## Englischer Name" als Schlüssel, dann n/s/lN/tN.
# Archetype-Namen (verbindlich): Apocrypha=伪典 Archfiend=狱魔 Barrierstruck=障壁
# Deathpoem=挽诗 Deckay=朽库 Dragon Shrine=龙祠 Failsafe=保险 Fethaerbreese=羽风
# Forgeheart=锻心 Gaslight=惑光 Genostitched=缝生 Gravemaw=墓喉 Heavenly=天界
# Hexweaver=咒织 Kindlekin=薪火 Lightless=无光 Lyria=莉里亚 Manacle=铁镣
# Mechination=机谋 Mimicrypt=拟墓 Paperbound=纸缚 Powderkeg=药桶 Redactor=涂墨
# Sacrilegion=渎圣军 Sleightwind=巧风 Slowburn=慢燃 Snugglet=偎偎兽 Tidebound=缚潮
# Trapline=陷线 Wyldpack=野群
## Abyss Titan
n 深渊泰坦
l0 临别赠礼
t0 此卡被破坏时：你可以抽1张卡。
## Aegis Fragment
n 神盾残片
l0 代为碎裂
t0 此卡被破坏时：你可以从卡组把1张“障壁”神器放置到场上。
## Ancient Dragon
n 远古巨龙
l0 龙息
t0 每回合一次：你可以支付3点法力；对对手造成800点伤害。
## Ancient History
n 陈年旧史
l0 陈年旧史
t0 支付1点法力：从对手墓地放逐至多2张卡。
l1 湮没于时光
t1 改为支付2点法力：至多4张。
## Apocrypha Basilisk
n 伪典石化蜥
l0 石化脚注
t0 支付2点法力：场上1张卡的效果无效，直到本回合结束。
## Apocrypha Bestiary
n 伪典兽谱
l0 万兽名录
t0 每回合一次：从你的墓地放逐1张卡；从你的墓地把1张“伪典”卡加入手牌。
l1 恶意引注
t1 支付2点法力：从对手墓地放逐1张卡；你控制的1只怪兽获得300攻击力，直到本回合结束。
## Apocrypha Cartographer
n 伪典绘图师
l0 测绘失落之地
t0 支付2点法力并从你的墓地放逐1张卡：抽1张卡。
## Apocrypha Chimera
n 伪典奇美拉
l0 借来的形骸
t0 每回合一次，双方回合皆可：复制场上1只怪兽的攻击力与守备力，直到本回合结束。
l1 第二颗头颅
t1 改为支付2点法力：复制，且此卡在本战斗阶段可以再攻击一次。
## Apocrypha Errata
n 伪典勘误表
l0 修正记录
t0 把你墓地中至多3张卡洗回卡组；抽1张卡。
l1 抹除记录
t1 改为支付2点法力：改为将它们放逐；抽2张。
## Apocrypha Fable
n 伪典寓言
l0 重述传说
t0 从你的卡组把1张“伪典”卡加入手牌。
## Apocrypha Hydra
n 伪典九头蛇
l0 断头再生
t0 此卡被破坏时：你可以从你的墓地特殊召唤1只“伪典”怪兽。
l1 双头并生
t1 支付2点法力：改为特殊召唤至多2只。
## Apocrypha Manticore
n 伪典蝎尾狮
l0 从索引撕下
t0 此卡被召唤时：从你的墓地放逐1张卡；抽1张卡。
l1 从所有索引撕下
t1 改为支付2点法力：放逐至多2张；抽2张，然后翻开你卡组顶的1张卡——你可以把它放到卡组底。
## Apocrypha Missing Page
n 伪典缺页
l0 寻回残篇
t0 把你的1张被放逐的卡返回你的墓地；你控制的1只怪兽的攻击力与守备力互换，直到本回合结束。
l1 寻回全章
t1 改为支付3点法力：返回至多2张；且该怪兽本回合不会被破坏。
## Apocrypha Roc
n 伪典大鹏
l0 一抓而去
t0 每回合一次：把场上1只怪兽返回持有者的手牌。
l1 风暴之翼
t1 改为支付3点法力：返回至多2只怪兽。
## Apocrypha Sphinx
