# RELIQUARY — UI-Übersetzung Spanisch
# Format: englischer Text <TAB> Übersetzung. '#' = Kommentar.
# Werte werden NICHT getrimmt — Leerzeichen in Bausteinen sind Absicht.
# ---------- Kartenrahmen / Kartentypen ----------
MONSTER	MONSTRUO
SPELL	MAGIA
ARTIFACT	ARTEFACTO
RELIQUARY	RELICARIO
PLAYER	JUGADOR
HERO	HÉROE
QUICK	RÁPIDA
NORMAL	NORMAL
QUICK SPELL	MAGIA RÁPIDA
Quick Spell	Magia Rápida
Spell Card	Carta de Magia
Artifact	Artefacto
Monster	Monstruo
Player	Jugador
Field	Campo
FIELD	CAMPO
LIEN	GRAVAMEN
SUMMON:	INVOCACIÓN:
PASSIVE:	PASIVO:
INFUSED	INFUSED
OR INFUSED	O INFUSED
INFUSED UPGRADE	MEJORA INFUSED
RELIQUARY SUMMON	INVOCACIÓN DE RELICARIO
SPECIAL SUMMON	INVOCACIÓN ESPECIAL
PASSIVE	PASIVO
{0} MANA	{0} MANÁ
NO MANA	SIN MANÁ
No effect.	Sin efecto.
— or, instead —	— o, en su lugar —
Equipped:	Equipado:
You cannot see this card.	No puedes ver esta carta.
Face-down card	Carta boca abajo
{0} • Level {1} • ATK {2} / DEF {3}	{0} • Nivel {1} • ATK {2} / DEF {3}
Player Card • {0} starting LP	Carta de Jugador • {0} LP iniciales
# ---------- Attribute ----------
FIRE	FUEGO
WATER	AGUA
LIGHT	LUZ
DARK	OSCURIDAD
EARTH	TIERRA
WIND	VIENTO
Fire	Fuego
Water	Agua
Light	Luz
Dark	Oscuridad
Earth	Tierra
Wind	Viento
# ---------- Monster-Typen ----------
DRAGON	DRAGÓN
HUMAN	HUMANO
ANIMAL	ANIMAL
BEAST	BESTIA
MECHA	MECHA
DEMON	DEMONIO
ANGEL	ÁNGEL
MYTH	MITO
Dragon	Dragón
Human	Humano
Animal	Animal
Beast	Bestia
Mecha	Mecha
Demon	Demonio
Angel	Ángel
Myth	Mito
# ---------- Seltenheiten ----------
COMMON	COMÚN
UNCOMMON	INFRECUENTE
RARE	RARA
LEGENDARY	LEGENDARIA
Common	Común
Uncommon	Infrecuente
Rare	Rara
Legendary	Legendaria
# ---------- Trigger-Zeilen (Inspect) ----------
Activate during your Main Phase	Actívala durante tu Main Phase
Response — activate any time	Respuesta — actívala en cualquier momento
On play	Al jugarla
When this card is summoned	Cuando esta carta es Invocada
When this card is destroyed	Cuando esta carta es destruida
When your opponent summons	Cuando tu adversario Invoca
During your Standby Phase	Durante tu Standby Phase
During your End Phase	Durante tu End Phase
When this card is Normal Summoned	Cuando esta carta es Invocada de Modo Normal
Activate from your hand during your Main Phase	Actívala desde tu mano durante tu Main Phase
Activate from your Graveyard during your Main Phase	Actívala desde tu Cementerio durante tu Main Phase
Response from your hand — activate any time	Respuesta desde la mano — actívala en cualquier momento
FLIP — when this card is turned face-up	VOLTEO — cuando esta carta se pone boca arriba
 · only if Special Summoned	 · solo si fue Invocada de Modo Especial
