# RELIQUARY — UI-Übersetzung Portugiesisch (PT-BR-Stil, für PT+BR)
# Format: englischer Text <TAB> Übersetzung. '#' = Kommentar.
# Werte werden NICHT getrimmt — Leerzeichen in Bausteinen sind Absicht.
# ---------- Kartenrahmen / Kartentypen ----------
MONSTER	MONSTRO
SPELL	MAGIA
ARTIFACT	ARTEFATO
RELIQUARY	RELICÁRIO
PLAYER	JOGADOR
HERO	HERÓI
QUICK	RÁPIDA
NORMAL	NORMAL
QUICK SPELL	MAGIA RÁPIDA
Quick Spell	Magia Rápida
Spell Card	Carta de Magia
Artifact	Artefato
Monster	Monstro
Player	Jogador
Field	Campo
FIELD	CAMPO
LIEN	PENHORA
SUMMON:	INVOCAÇÃO:
PASSIVE:	PASSIVO:
INFUSED	INFUSED
OR INFUSED	OU INFUSED
INFUSED UPGRADE	MELHORIA INFUSED
RELIQUARY SUMMON	INVOCAÇÃO DE RELICÁRIO
SPECIAL SUMMON	INVOCAÇÃO ESPECIAL
PASSIVE	PASSIVO
{0} MANA	{0} MANA
NO MANA	SEM MANA
No effect.	Sem efeito.
— or, instead —	— ou, em vez disso —
Equipped:	Equipado:
You cannot see this card.	Você não pode ver esta carta.
Face-down card	Carta virada para baixo
{0} • Level {1} • ATK {2} / DEF {3}	{0} • Nível {1} • ATK {2} / DEF {3}
Player Card • {0} starting LP	Carta de Jogador • {0} LP iniciais
# ---------- Attribute ----------
FIRE	FOGO
WATER	ÁGUA
LIGHT	LUZ
DARK	TREVAS
EARTH	TERRA
WIND	VENTO
Fire	Fogo
Water	Água
Light	Luz
Dark	Trevas
Earth	Terra
Wind	Vento
# ---------- Monster-Typen ----------
DRAGON	DRAGÃO
HUMAN	HUMANO
ANIMAL	ANIMAL
BEAST	FERA
MECHA	MECHA
DEMON	DEMÔNIO
ANGEL	ANJO
MYTH	MITO
Dragon	Dragão
Human	Humano
Animal	Animal
Beast	Fera
Mecha	Mecha
Demon	Demônio
Angel	Anjo
Myth	Mito
# ---------- Seltenheiten ----------
COMMON	COMUM
UNCOMMON	INCOMUM
RARE	RARA
